"county" "id" "xloc" "yloc" "cvtot" "wdist"
"Val Verde" 31 529.973571843968 450.014828117647 450 51.1001964609673
"Ward" 32 341.083560988734 628.316027457235 1 27.9637604264553
"Armstrong" 33 511.688024484771 1012.27781312552 11 26.9982578068905
"Atascosa" 34 784.723021504344 336.148028592126 1 29.6447231583842
"Bandera" 35 713.464183227926 432.604388738235 268 28.1519690260598
"Bell" 36 885.530620149624 575.020723484431 1593 28.0036168876803
"Bexar" 37 785.766406198261 401.775953093411 1737 31.1274316706082
"Blanco" 38 796.62645418864 491.041443030977 106 21.6591694205555
"Bosque" 39 869.872714007644 673.623384888526 19 27.6666555134691
"Brewster" 40 327.123983515929 437.622099231914 467 66.7324896084264
"Briscoe" 41 523.893885561888 963.403822937936 24 26.3425870851954
"Brooks" 42 813.156085885157 132.331336601684 2 27.0757354913227
"Burnet" 43 816.406752351889 545.952911124758 163 27.1785433721527
"Cameron" 44 883.881989423559 32.8977596139468 1 28.7698825693156
"Cherokee" 45 1105.67854994964 668.298088605745 10 29.1835689699073
"Childress" 46 620.73487146249 963.538293167434 42 22.0037850448643
"Coke" 47 591.226551552144 670.944322908283 25 26.9953330698233
"Coleman" 48 691.762137997609 657.891139282898 8 31.5411739740191
"Collingsworth" 49 615.814885985297 1011.65178566436 108 25.9755715682352
"Comal" 50 806.640953440302 440.527254803579 360 20.4852817002427
"Cooke" 51 911.306103620413 864.845970163898 5 25.5276746890827
"Coryell" 52 853.03143686613 618.166474210957 431 27.0537990379088
"Cottle" 53 614.749176300751 912.108101609888 25 25.2212845614675
"Crockett" 54 505.772822779894 538.727484651426 76 49.9993272088023
"Culberson" 55 205.706304491186 619.552753432632 573 52.3895208667971
"Dallas" 56 953.041846533508 769.948026148561 4 25.175781152698
"Dawson" 57 454.411476754154 765.448975079874 1 25.572421958902
"Denton" 58 917.308688717197 817.093595918434 3 25.6396718972047
"Hall" 59 576.946177860968 962.248612995062 5 25.2332750877352
"Hamilton" 60 822.270802001482 651.700479462272 4 25.2844574185364
"Hardeman" 61 665.962467086433 936.668987432909 17 24.2760090102353
"Houston" 62 1084.25835596072 607.573311805168 15 31.0337802786679
"Howard" 63 502.562941966309 717.379309385604 8 26.0419562440839
"Hudspeth" 64 120.868796708681 628.396761914822 52 57.7146644323779
"Irion" 65 547.138416519267 604.523174150798 13 26.7527606933586
"Jack" 66 817.100079125466 818.861656822151 23 25.849302134622
"Jeff Davis" 67 233.232694897033 541.129418892411 166 46.1404055462121
"Johnson" 68 894.029723438984 725.790667595808 5 22.8168957962135
"Karnes" 69 845.784916413667 341.286953313487 2 24.1698116577437
"Kaufman" 70 997.98377629296 749.257360301036 2 24.517305389111
"Kendall" 71 766.102967750307 455.911918855406 891 21.51510339988
"Kerr" 72 702.674556144652 469.239997161862 224 32.3920533487667
"Kimble" 73 663.422194538335 515.725910414477 194 32.6550069155312
"King" 74 612.860913738301 862.296303407783 27 24.6576378165013
"Kinney" 75 600.366148555104 389.711820413829 102 30.2830633521827
"Lampasas" 76 809.550490074112 593.914333254526 121 22.7930636720544
"Pecos" 77 368.924851036064 544.501694922978 81 57.1308134278417
"Presidio" 78 234.118208796423 460.443574489347 191 51.6065264705654
"Randall" 79 458.893168675421 1012.13028252584 26 25.2895416586316
"Reagan" 80 493.55568807423 612.880658593419 6 29.1310743582999
"Real" 81 658.485638015851 442.223800180473 275 23.2340928283104
"Reeves" 82 284.635322358375 606.442906268268 45 45.9517575685581
"Rusk" 83 1148.5658463747 694.55324648842 9 28.6505204902054
"San Patricio" 84 879.17356815093 240.524318393111 2 25.4691264088504
"San Saba" 85 754.850988110098 588.145727466466 723 29.2452532449338
"Schleicher" 86 589.691693163591 559.396850228939 15 32.8055599873331
"Scurry" 87 553.013289271558 766.776955880627 9 26.7655579691378
"Shelby" 88 1206.07623984207 659.891156544655 5 25.7031141426344
"Somervell" 89 854.509131038978 706.316821088874 3 12.063695057862
"Starr" 90 763.357323604244 79.6544680541659 2 30.7365245605581
"Sterling" 91 539.809148805442 663.127180994769 1 26.4747375909293
"Stonewall" 92 616.5334880676 813.498779525871 15 25.0341281179245
"Wheeler" 93 614.445761125364 1060.91536413296 8 25.719908117565
"Williamson" 94 873.141130973366 530.344133237239 1094 31.4243055583204
